Gene,Role,Color
MYD88,Oncogene (OG),#ff0000
CSF3R,Oncogene (OG),#ff0000
JAK3,Oncogene (OG),#ff0000
ALK,Oncogene (OG),#ff0000
CDK6,Oncogene (OG),#ff0000
JAK2,Oncogene (OG),#ff0000
KDM5A,Oncogene (OG),#ff0000
FLT3,Oncogene (OG),#ff0000
MYC,Oncogene (OG),#ff0000
FGFR3,Oncogene (OG),#ff0000
HGF,Oncogene (OG),#ff0000
AKT1,Oncogene (OG),#ff0000
ERBB2,Oncogene (OG),#ff0000
ARAF,Oncogene (OG),#ff0000
XPO1,Oncogene (OG),#ff0000
CCND1,Oncogene (OG),#ff0000
U2AF1,Oncogene (OG),#ff0000
MAPK1,Oncogene (OG),#ff0000
ABL1,Oncogene (OG),#ff0000
ERBB3,Oncogene (OG),#ff0000
SRC,Oncogene (OG),#ff0000
NTRK2,Oncogene (OG),#ff0000
PIK3CA,Oncogene (OG),#ff0000
CTNNB1,Oncogene (OG),#ff0000
NTRK3,Oncogene (OG),#ff0000
CARD11,Oncogene (OG),#ff0000
CD79A,Oncogene (OG),#ff0000
CD79B,Oncogene (OG),#ff0000
MTOR,Oncogene (OG),#ff0000
ERG,Oncogene (OG),#ff0000
FGFR2,Oncogene (OG),#ff0000
AKT3,Oncogene (OG),#ff0000
KIT,Oncogene (OG),#ff0000
PDGFRA,Oncogene (OG),#ff0000
IDH1,Oncogene (OG),#ff0000
IDH2,Oncogene (OG),#ff0000
MDM4,Oncogene (OG),#ff0000
ROS1,Oncogene (OG),#ff0000
EGFR,Oncogene (OG),#ff0000
HRAS,Oncogene (OG),#ff0000
PTPN11,Oncogene (OG),#ff0000
BRD4,Oncogene (OG),#ff0000
RICTOR,Oncogene (OG),#ff0000
SYK,Oncogene (OG),#ff0000
RET,Oncogene (OG),#ff0000
MITF,Oncogene (OG),#ff0000
BRAF,Oncogene (OG),#ff0000
NRAS,Oncogene (OG),#ff0000
CCND3,Oncogene (OG),#ff0000
NSD2,Oncogene (OG),#ff0000
MPL,Oncogene (OG),#ff0000
PDGFRB,Oncogene (OG),#ff0000
CALR,Oncogene (OG),#ff0000
FGFR1,Oncogene (OG),#ff0000
SF3B1,Oncogene (OG),#ff0000
MYCN,Oncogene (OG),#ff0000
BCL2,Oncogene (OG),#ff0000
BCL6,Oncogene (OG),#ff0000
CCND2,Oncogene (OG),#ff0000
KDR,Oncogene (OG),#ff0000
MAP2K2,Oncogene (OG),#ff0000
MAP2K1,Oncogene (OG),#ff0000
SOX2,Oncogene (OG),#ff0000
AKT2,Oncogene (OG),#ff0000
KRAS,Oncogene (OG),#ff0000
MET,Oncogene (OG),#ff0000
RAF1,Oncogene (OG),#ff0000
GNAS,Oncogene (OG),#ff0000
PDCD1LG2,Oncogene (OG),#ff0000
AR,Oncogene (OG),#ff0000
FGFR4,Oncogene (OG),#ff0000
JUN,Oncogene (OG),#ff0000
MDM2,Oncogene (OG),#ff0000
CCNE1,Oncogene (OG),#ff0000
SMO,Oncogene (OG),#ff0000
MYCL,Oncogene (OG),#ff0000
DDR2,Oncogene (OG),#ff0000
STAT3,Oncogene (OG),#ff0000
GNA11,Oncogene (OG),#ff0000
GNAQ,Oncogene (OG),#ff0000
CXCR4,Oncogene (OG),#ff0000
CDK4,Oncogene (OG),#ff0000
LYN,Oncogene (OG),#ff0000
REL,Oncogene (OG),#ff0000
RAC1,Oncogene (OG),#ff0000
PIK3CB,Oncogene (OG),#ff0000
IL7R,Oncogene (OG),#ff0000
CRLF2,Oncogene (OG),#ff0000
MSI2,Oncogene (OG),#ff0000
GLI1,Oncogene (OG),#ff0000
ETV1,Oncogene (OG),#ff0000
FLT4,Oncogene (OG),#ff0000
LMO1,Oncogene (OG),#ff0000
YAP1,Oncogene (OG),#ff0000
ACVR1,Oncogene (OG),#ff0000
WWTR1,Oncogene (OG),#ff0000
PPM1D,Oncogene (OG),#ff0000
RRAS2,Oncogene (OG),#ff0000
SOS1,Oncogene (OG),#ff0000
CYSLTR2,Oncogene (OG),#ff0000
USP8,Oncogene (OG),#ff0000
SGK1,Oncogene (OG),#ff0000
NT5C2,Oncogene (OG),#ff0000
SETBP1,Oncogene (OG),#ff0000
STAT6,Oncogene (OG),#ff0000
PLCG1,Oncogene (OG),#ff0000
HIF1A,Oncogene (OG),#ff0000
UBR5,Oncogene (OG),#ff0000
LCK,Oncogene (OG),#ff0000
CD28,Oncogene (OG),#ff0000
MYB,Oncogene (OG),#ff0000
EWSR1,Oncogene (OG),#ff0000
ETV4,Oncogene (OG),#ff0000
ETV5,Oncogene (OG),#ff0000
CD74,Oncogene (OG),#ff0000
MLLT10,Oncogene (OG),#ff0000
AFF4,Oncogene (OG),#ff0000
FCGR2B,Oncogene (OG),#ff0000
PAX3,Oncogene (OG),#ff0000
ABL2,Oncogene (OG),#ff0000
DEK,Oncogene (OG),#ff0000
HOXA13,Oncogene (OG),#ff0000
NUP98,Oncogene (OG),#ff0000
MECOM,Oncogene (OG),#ff0000
MN1,Oncogene (OG),#ff0000
USP6,Oncogene (OG),#ff0000
BCL9,Oncogene (OG),#ff0000
BCL3,Oncogene (OG),#ff0000
HIP1,Oncogene (OG),#ff0000
PDGFB,Oncogene (OG),#ff0000
FLI1,Oncogene (OG),#ff0000
NR4A3,Oncogene (OG),#ff0000
TNFRSF17,Oncogene (OG),#ff0000
HMGA2,Oncogene (OG),#ff0000
TAL1,Oncogene (OG),#ff0000
ATF1,Oncogene (OG),#ff0000
HMGA1,Oncogene (OG),#ff0000
MAFB,Oncogene (OG),#ff0000
TFE3,Oncogene (OG),#ff0000
LMO2,Oncogene (OG),#ff0000
TLX1,Oncogene (OG),#ff0000
TLX3,Oncogene (OG),#ff0000
TCL1A,Oncogene (OG),#ff0000
CACNA1D,Oncogene (OG),#ff0000
